Al6061, 2.703, 5.288, 1.3756, 2.14
Au, 19.24, 3.056, 1.572, 2.97
Gold, 19.3, 3.08, 1.56, 2.99
Be, 1.851, 7.998, 1.124, 1.16
Bromoform, 2.87, 1.5, 1.38, 1.1998
Comp-B Ucj=2.054, 1.73, 7.95, 0, 1.5
Comp-B UR, 1.70, 2.49, 1.99, 1.5
Comp-B od, 1.726, 5.1249, 1.0403, 1.5
Copper OFHC, 8.93, 3.94, 1.489, 1.96
Cosatol Ucj= 1.125 (P118 & P22), 1.633, 6.8, 0, 4.04
Diamond, 3.52, 18.33, 2.07, 1.5
Glass Shott, 5.085, 2.278, 1.4128, 1.5
Iron, 7.85, 3.938, 1.587, 2.0 
Kel-F Sheffield Alcon, 2.14, 1.989, 1.763, 1.0
KCl, 1.99, 1.8, 1.8, 1.0
LiF, 2.638, 5.15, 1.35, 1.5
Mg AZ31-B, 1.776, 4.516, 1.256, 1.45
Molybdenum, 10.215, 5.122, 1.245, 1.58
Nickel, 8.9, 4.65, 1.445, 1.93
PBX-9404, 1.844, 2.243, 1.883, 1.5
PBX-9501 Ucj=2.285, 1.84, 8.8, 0, 1.5
PBX-9501-UR, 1.844, 2.683, 1.906, 1.5
PBX-9501-od, 1.835, 6.35, 0.89, 1.5
PBX-9502 Ucj=2.067, 1.895, 7.71, 0, 1.5
PBX-9502-od, 1.896, 4.487, 1.212, 1.5
PBX-9502, 1.895, 3.263, 1.678, 1.5
Platinum, 21.44, 3.64, 1.54, 2.74
PMMA Us<3.6, 1.186, 2.76, 1.42, 1.5
PMMA Us<7.234, 1.186, 2.598, 1.516, 1.5
PMMA 7.234<Us<7.49, 1.186, 5.5, 0.567, 1.5
PMMA 7.49<Us, 1.186, 2.812, 1.333, 1.5
Pyrex 5.2<Us, 2.23, 1.75, 1.53, 1.5
Sapphire, 3.987, 8.42, 1.15, 1.5
Sapphire-Z Barker, 3.985, 11.19, 1.0, 1.5
Silica Phenolic <2.5kms, 1.725,2.791,1.067,1.5
Silica Phenolic >2.5kms, 1.725,1.232,1.57,1.5
RCC Shuttle>high pressure, 1.37, 1.993, 1.35, 1.5
Silver, 10.49, 3.27, 1.55, 2.4
Soda Lime Glass,2.53,2.01,1.8,1.5
SS304, 7.926, 4.48, 1.51, 2.18
SS316, 7.96, 4.464, 1.544, 2.17
Ta, 16.6540,3.402,1.2196,1.8196
Ta High Press, 16.68,3.293,1.3070,1.82
Ti-Al6V4, 4.417, 4.923, 1.109, 1.09
Tin, 7.287, 2.59, 1.49, 2.27
TNT Ucj=1.66, 1.64, 6.94, 0, 1.5
TNT-UR, 1.64, 2.370, 2.16,  1.5
TNT-OD, 1.64, 3.708, 1.233, 1.5
Tungsten, 19.256, 4.022, 1.260, 1.65
Tungsten Carbide, 14.9, 5.19, 1.16, 1.5
Vanadium, 6.1, 5.077, 1.201, 1.4
Zinc, 7.139, 3.03, 1.55, 2.24
Zirconium, 6.506, 3.89, .292, .93
Z-Quartz, 2.6485, 6.36, 1.36, 1.52
